id;number;textdesc;number_in_surah;page;surah_id;hizb_id;juz_id;sajda;created_at;updated_at
1;561;../fake-data/blob/hipster.txt;16446;4924;30906;14275;17588;true;2024-01-09T09:13:33;2024-01-09T05:14:55
2;21754;../fake-data/blob/hipster.txt;8542;12261;14049;32371;26122;true;2024-01-09T01:22:40;2024-01-09T07:31:13
3;31208;../fake-data/blob/hipster.txt;31757;17914;22801;23135;15945;true;2024-01-09T11:14:57;2024-01-09T01:30:01
4;26;../fake-data/blob/hipster.txt;26136;21573;27695;26603;25165;false;2024-01-08T23:34:42;2024-01-09T02:07:26
5;32165;../fake-data/blob/hipster.txt;13231;7461;29957;27915;26418;true;2024-01-09T09:51:53;2024-01-09T11:00:39
6;23667;../fake-data/blob/hipster.txt;21594;14211;17071;13501;28033;true;2024-01-09T16:09:44;2024-01-09T12:11:22
7;6403;../fake-data/blob/hipster.txt;10265;31790;15055;6585;31779;true;2024-01-09T13:12:55;2024-01-09T02:36:55
8;31094;../fake-data/blob/hipster.txt;11556;19949;22111;14740;14830;true;2024-01-09T11:13:22;2024-01-09T12:52:14
9;28919;../fake-data/blob/hipster.txt;32407;18930;29468;21435;2808;false;2024-01-08T21:39:36;2024-01-09T11:04:52
10;17445;../fake-data/blob/hipster.txt;22383;32586;372;314;12438;false;2024-01-09T02:14:13;2024-01-08T21:36:33
