id;certificate_type;title;riwaya;miqdar;observation
1;IJAZA;pro infinite;HISHAMS_NARRATION_ON_THE_AUTHORITY_OF_IBN_AMER_VIA_AL_SHATIBIYYAH;38;../fake-data/blob/hipster.txt
2;HIFDH;during bathroom responsible;WARSHS_NARRATION_ON_THE_AUTHORITY_OF_NAFI_VIA_AL_SHATIBIYYAH;15;../fake-data/blob/hipster.txt
3;IJAZA;truly;SHUBAHS_NARRATION_ON_THE_AUTHORITY_OF_ASIM_THROUGH_SHATIBIYYAH;56;../fake-data/blob/hipster.txt
4;TAJWID;doom seashore;READ_BEHIND_THE_TENTH_OF_DURRAH_ROAD;7;../fake-data/blob/hipster.txt
5;IJAZA;statute qua dose;QALOUNS_NARRATION_ON_THE_AUTHORITY_OF_NAFI_ON_THE_AUTHORITY_OF_AL_SHATIBIYYAH;52;../fake-data/blob/hipster.txt
6;TAJWID;cash scarily;AL_SUSIS_NARRATION_ON_THE_AUTHORITY_OF_ABU_AMR_VIA_AL_SHATIBIYYAH;55;../fake-data/blob/hipster.txt
7;IJAZA;ping filthy gaseous;KHALAFS_NARRATION_ON_THE_AUTHORITY_OF_HAMZA_VIA_AL_SHATIBIYYAH;53;../fake-data/blob/hipster.txt
8;TAJWID;ugh;KHALAFS_NARRATION_ON_THE_AUTHORITY_OF_HAMZA_VIA_AL_SHATIBIYYAH;48;../fake-data/blob/hipster.txt
9;IJAZA;an;JACOBS_READING_FROM_THE_PATH_OF_DURRA;59;../fake-data/blob/hipster.txt
10;IJAZA;unlucky past whoa;QUNBULS_NARRATION_ON_THE_AUTHORITY_OF_IBN_KATHIR_VIA_AL_SHATIBIYYAH;37;../fake-data/blob/hipster.txt
