id;name_ar;name_lat;description
1;before buying button;times yet woefully;../fake-data/blob/hipster.txt
2;gasket;noisily;../fake-data/blob/hipster.txt
3;greedily ugh astride;iterate;../fake-data/blob/hipster.txt
4;radiant spleen;definitive;../fake-data/blob/hipster.txt
5;minus;ouch;../fake-data/blob/hipster.txt
6;how regarding now;dimly;../fake-data/blob/hipster.txt
7;glistening through counterpart;positive citizen;../fake-data/blob/hipster.txt
8;regular;hence viciously;../fake-data/blob/hipster.txt
9;provided deduce;upbeat foolishly;../fake-data/blob/hipster.txt
10;overcooked;so other;../fake-data/blob/hipster.txt
