id;pseudo_name;type;title;message;jhi_like;dis_like;created_at;updated_at
1;incidentally aw;ABSENCE;practical however fooey;../fake-data/blob/hipster.txt;false;false;2024-01-09T15:15:43;2024-01-09T07:19:51
2;editorialize replace sympathise;COMMITEMENT;beyond tattoo inasmuch;../fake-data/blob/hipster.txt;false;true;2024-01-08T21:53:37;2024-01-09T12:56:47
3;zowie careful;ABSENCE;grovel enlightened acidly;../fake-data/blob/hipster.txt;true;false;2024-01-09T07:17:07;2024-01-09T05:41:12
4;spite boo cayenne;GOOD_TEACHER;yippee;../fake-data/blob/hipster.txt;true;true;2024-01-09T12:13:57;2024-01-09T02:56:53
5;if infantile;BAD_TEACHER;fibre regarding woot;../fake-data/blob/hipster.txt;true;true;2024-01-09T15:53:07;2024-01-09T02:03:55
6;architect consequently in;GOOD_TEACHER;or;../fake-data/blob/hipster.txt;false;true;2024-01-09T08:07:19;2024-01-09T16:10:49
7;productive perfectly;GOOD_TEACHER;yum;../fake-data/blob/hipster.txt;false;true;2024-01-09T16:20:56;2024-01-09T09:02:03
8;appropriate gratify cartilage;OTHERS;likewise diligently;../fake-data/blob/hipster.txt;true;true;2024-01-09T01:57:51;2024-01-09T03:09:21
9;overcharge;BAD_TEACHER;damaged nab;../fake-data/blob/hipster.txt;true;false;2024-01-09T16:08:36;2024-01-08T18:20:39
10;tournament more gregarious;ABSENCE;developing;../fake-data/blob/hipster.txt;true;false;2024-01-08T19:20:59;2024-01-09T01:48:14
