id;level;title_ar;title_lat;description;sub_titles;requirements;options;duration;image_link;image_link_content_type;video_link;price;is_active;activate_at;is_confirmed;confirmed_at
1;INTERMEDIATE;about;sternly toboggan;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;26542;../fake-data/blob/hipster.png;image/png;essential;1462.75;false;2024-01-09T13:23:28;true;2024-01-09T17:14:44
2;ADVANCED;abjure;elaborate opposite revel;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;9450;../fake-data/blob/hipster.png;image/png;despite;22450.53;true;2024-01-09T00:24:58;true;2024-01-09T06:32:22
3;EXPERT;for psst yum;yippee;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;24484;../fake-data/blob/hipster.png;image/png;bleakly but;1145.69;true;2024-01-09T08:10:52;true;2024-01-09T04:30:02
4;BEGINNER;round brr spiffy;hot;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;8030;../fake-data/blob/hipster.png;image/png;who;9459.79;true;2024-01-08T23:33:30;false;2024-01-09T03:06:46
5;EXPERT;impolite;nor ew;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;1991;../fake-data/blob/hipster.png;image/png;psst gladly who;24434.61;true;2024-01-09T13:20:28;true;2024-01-08T22:26:09
6;BEGINNER;once;astrakhan or lovingly;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;25683;../fake-data/blob/hipster.png;image/png;vague;25693.61;true;2024-01-08T23:57:34;false;2024-01-09T04:06:27
7;ADVANCED;bungalow;monthly gosh adventurously;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;9906;../fake-data/blob/hipster.png;image/png;gah spurn casserole;1227.83;false;2024-01-09T01:56:18;true;2024-01-09T00:10:10
8;BEGINNER;insomnia;except drat;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;4362;../fake-data/blob/hipster.png;image/png;following wherever;8647.89;false;2024-01-09T13:32:10;true;2024-01-09T00:33:55
9;EXPERT;ballot which cylindrical;badly frost filthy;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;9368;../fake-data/blob/hipster.png;image/png;lustrous;5024.58;false;2024-01-08T22:20:43;true;2024-01-08T20:43:04
10;BEGINNER;base next;down annoy;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;12420;../fake-data/blob/hipster.png;image/png;cloak;4939.99;false;2024-01-09T16:59:24;true;2024-01-08T22:56:11
