id;name_ar;name_lat;description
1;revenge worst;resistance skirt;../fake-data/blob/hipster.txt
2;hot picturize;consume;../fake-data/blob/hipster.txt
3;so;closely;../fake-data/blob/hipster.txt
4;amid;infinite;../fake-data/blob/hipster.txt
5;drat;agency unhealthy;../fake-data/blob/hipster.txt
6;after successfully athwart;yet gosh brr;../fake-data/blob/hipster.txt
7;latte;agonizing yippee trait;../fake-data/blob/hipster.txt
8;oily;gah provision;../fake-data/blob/hipster.txt
9;admonish;shade contingency offensively;../fake-data/blob/hipster.txt
10;because;mercury around;../fake-data/blob/hipster.txt
