id;type;target;frequency;amount;ref;message
1;REGISTER;OTHERS;YEARLY;13126.99;softly;merrily leverage
2;INTERNET;REDAL;DAILY;4047.86;frankly outside behind;stimulate
3;ACTIVITY_FEES;TEACHER;YEARLY;7453.47;temptation geez reassuringly;never
4;OTHERS;LOYER;FIXED_DATE;12796.77;oeuvre faithful;thankfully
5;ACTIVITY_FEES;IAM;MONTHLY;12687.91;supposing;deafening sedately
6;INTERNAL_ACTIVITY;TEACHER;DAILY;4446.34;huzzah tomorrow unabashedly;haemorrhage
7;ACTIVITY_FEES;LOYER;DAILY;5486.91;front blissfully phew;phooey update
8;REGISTER;TEACHER;DAILY;24213.55;excepting;brand
9;DONATION;IAM;YEARLY;15721.1;kindly;surprisingly sack buoyant
10;RENT;TEACHER;FIXED_DATE;11466.34;preselect;alongside finally
