id;type;title;subject;detail;supervisor;grade;graduation_date;school;attachment;attachment_content_type
1;PHD;softening;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;posit article;2024-01-09;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png
2;LICENCE;incidentally persuade absentmindedly;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;plus wrong;2024-01-09;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png
3;SECONDARY;worth frantically;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;between mushy besiege;2024-01-09;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png
4;MASTER;shyly vivo;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;stylish hmph;2024-01-09;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png
5;PHD;atop youthfully oh;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;pill officially upliftingly;2024-01-09;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png
6;PRIMARY;publish;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;pfft occasional when;2024-01-08;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png
7;PHD;successfully instantly;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;ugh above although;2024-01-09;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png
8;PRIMARY;ick;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;abaft astride gambling;2024-01-09;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png
9;LICENCE;shy although officially;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;or curiously;2024-01-09;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png
10;SECONDARY;media sharply;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;hidden beside;2024-01-09;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png
