id;ref;enrolement_type;enrolment_start_time;enrolemnt_end_time;is_active;activated_at
1;qua criminal;HALFYEARLY;2024-01-09T07:31:27;2024-01-09T05:12:53;false;2024-01-08T19:15:04
2;fashion;HALFYEARLY;2024-01-09T03:56:42;2024-01-09T02:13:49;true;2024-01-09T10:42:40
3;voluntarily whether;YEARLY;2024-01-08T20:22:13;2024-01-08T23:20:37;true;2024-01-09T14:40:55
4;till glimpse blah;HALFYEARLY;2024-01-08T18:00:46;2024-01-09T03:48:50;false;2024-01-09T16:13:25
5;that potentially provided;MONTHLY;2024-01-09T01:25:59;2024-01-08T22:40:34;false;2024-01-09T16:58:58
6;conifer;MONTHLY;2024-01-09T08:52:27;2024-01-08T23:36:08;true;2024-01-09T14:16:03
7;pish aw wean;MONTHLY;2024-01-08T23:59:27;2024-01-09T00:27:35;false;2024-01-09T01:07:21
8;colorfully old;HALFYEARLY;2024-01-08T21:02:49;2024-01-09T04:57:16;true;2024-01-08T22:59:00
9;wedge appal;YEARLY;2024-01-08T23:32:45;2024-01-09T02:13:32;true;2024-01-09T10:29:00
10;rowboat versus whereas;ONELIFE;2024-01-08T22:59:54;2024-01-09T00:04:08;false;2024-01-09T01:19:56
