id;group_type;name_ar;name_lat;description
1;PROFESSOR;colonialism strew;basic unless;../fake-data/blob/hipster.txt
2;SUPERVISOR;dissemination heavily alongside;yippee worn;../fake-data/blob/hipster.txt
3;SUPERVISOR;hmph teach freely;aw;../fake-data/blob/hipster.txt
4;STUDENT;through wasteful;rarely blindfolded;../fake-data/blob/hipster.txt
5;PROFESSOR;zowie precious than;up;../fake-data/blob/hipster.txt
6;EMPTY;plunk um;unto atop samovar;../fake-data/blob/hipster.txt
7;STUDENT;minus within;frank;../fake-data/blob/hipster.txt
8;STUDENT;bomb whenever;ruddy;../fake-data/blob/hipster.txt
9;PROFESSOR;unaccountably visit in;irritate quizzically;../fake-data/blob/hipster.txt
10;PROFESSOR;ick;lively blah ugh;../fake-data/blob/hipster.txt
