id;title_ar;title_lat;description;duration;image_link;image_link_content_type;video_link
1;philosophy quizzically switching;ick;../fake-data/blob/hipster.txt;28798;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.txt
2;till avaricious than;defiantly angrily failing;../fake-data/blob/hipster.txt;6051;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.txt
3;canine sideboard;disenfranchise within;../fake-data/blob/hipster.txt;15429;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.txt
4;fossick bewail;disco;../fake-data/blob/hipster.txt;23434;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.txt
5;gasoline phooey psst;acceptable intently hmph;../fake-data/blob/hipster.txt;19161;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.txt
6;noted;gear;../fake-data/blob/hipster.txt;948;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.txt
7;rhapsodise;yowza;../fake-data/blob/hipster.txt;18119;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.txt
8;wherever;colorless what awkwardly;../fake-data/blob/hipster.txt;18900;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.txt
9;neatly complicate qua;backcomb when reluctantly;../fake-data/blob/hipster.txt;29029;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.txt
10;outrun;instantly pale;../fake-data/blob/hipster.txt;16334;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.txt
