id;attendance;justif_ref;late_arrival;early_departure;progression_mode;exam_type;riwaya;from_sourate;to_sourate;from_aya_num;to_aya_num;from_aya_verset;to_aya_verset;tilawa_type;task_done;tajweed_score;hifd_score;adae_score;observation
1;PRESENT;now;false;true;SLOW;OPTIONAL;KHALAFS_NARRATION_ON_THE_AUTHORITY_OF_HAMZA_VIA_AL_SHATIBIYYAH;AL3IMRAN;BA9ARA;16971;18933;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;TILAWA;false;1;4;2;../fake-data/blob/hipster.txt
2;PRESENT;of;true;true;INTERMEDIATE;NONE;KHALLADS_NARRATION_ON_THE_AUTHORITY_OF_HAMZA_VIA_SHATIBIYA;FATIHA;BA9ARA;25103;16101;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;HIFD;false;2;4;5;../fake-data/blob/hipster.txt
3;ABSENT;phooey;false;true;SLOW;MANDATORY;KHALLADS_NARRATION_ON_THE_AUTHORITY_OF_HAMZA_VIA_SHATIBIYA;FATIHA;BA9ARA;6764;7535;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;MORAJA3A;false;4;5;2;../fake-data/blob/hipster.txt
4;PRESENT;skitter yahoo ah;true;true;FAST;NONE;WARSHS_NARRATION_ON_THE_AUTHORITY_OF_NAFI_THROUGH_TAYYIBAH;FATIHA;AL3IMRAN;11962;29549;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;MORAJA3A;true;4;1;1;../fake-data/blob/hipster.txt
5;PRESENT;awkwardly;true;true;VERYFAST;NONE;READING_ABU_JAAFAR_FROM_DURRAH_ROAD;FATIHA;AL3IMRAN;32332;17629;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;TILAWA;true;1;2;1;../fake-data/blob/hipster.txt
6;ABSENT;platelet politely offensively;false;true;FAST;MANDATORY;ABU_AL_HARITHS_NARRATION_ON_THE_AUTHORITY_OF_AL_KISAI_VIA_AL_SHATIBIYYAH;AL3IMRAN;FATIHA;4306;9258;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;HIFD;true;2;2;4;../fake-data/blob/hipster.txt
7;ABSENT;oar enrollment;false;true;INTERMEDIATE;MANDATORY;READING_ABU_JAAFAR_FROM_DURRAH_ROAD;AL3IMRAN;FATIHA;22086;20834;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;HIFD;true;3;5;4;../fake-data/blob/hipster.txt
8;ABSENT_AUTHORIZED;yum;true;true;VERYFAST;OPTIONAL;AL_DURIS_NARRATION_ON_THE_AUTHORITY_OF_ABU_AMR_VIA_AL_SHATIBIYYAH;AL3IMRAN;AL3IMRAN;10246;21562;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;MORAJA3A;true;4;1;3;../fake-data/blob/hipster.txt
9;PRESENT;before cleverly gee;false;false;INTERMEDIATE;MANDATORY;KHALAFS_NARRATION_ON_THE_AUTHORITY_OF_HAMZA_VIA_AL_SHATIBIYYAH;AL3IMRAN;FATIHA;16357;17843;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;HIFD;false;4;3;2;../fake-data/blob/hipster.txt
10;ABSENT_AUTHORIZED;raisin fume;false;false;INTERMEDIATE;NONE;QUNBULS_NARRATION_ON_THE_AUTHORITY_OF_IBN_KATHIR_VIA_AL_SHATIBIYYAH;AL3IMRAN;FATIHA;573;12336;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;HIFD;false;4;3;2;../fake-data/blob/hipster.txt
