id;attendance;justif_ref;late_arrival;early_departure;progression_mode;exam_type;riwaya;from_sourate;to_sourate;from_aya_num;to_aya_num;from_aya_verset;to_aya_verset;tilawa_type;task_done;tajweed_score;hifd_score;adae_score;observation
1;PRESENT;now;false;true;SLOW;OPTIONAL;KHALAFS_NARRATION_ON_THE_AUTHORITY_OF_HAMZA_VIA_AL_SHATIBIYYAH;AL3IMRAN;BA9ARA;16971;18933;ddddd;ddddd;TILAWA;false;1;4;2;dddd
2;PRESENT;of;true;true;INTERMEDIATE;NONE;KHALLADS_NARRATION_ON_THE_AUTHORITY_OF_HAMZA_VIA_SHATIBIYA;FATIHA;BA9ARA;25103;16101;ddddd;ddddd;HIFD;false;2;4;5;dd
3;ABSENT;phooey;false;true;SLOW;MANDATORY;KHALLADS_NARRATION_ON_THE_AUTHORITY_OF_HAMZA_VIA_SHATIBIYA;FATIHA;BA9ARA;6764;7535;ddddd;ddddd;MORAJA3A;false;4;5;2;dd
4;PRESENT;skitter yahoo ah;true;true;FAST;NONE;WARSHS_NARRATION_ON_THE_AUTHORITY_OF_NAFI_THROUGH_TAYYIBAH;FATIHA;AL3IMRAN;11962;29549;ddddd;ddddd;MORAJA3A;true;4;1;1;ddddd
5;PRESENT;awkwardly;true;true;VERYFAST;NONE;READING_ABU_JAAFAR_FROM_DURRAH_ROAD;FATIHA;AL3IMRAN;32332;17629;ddddd;ddddd;TILAWA;true;1;2;1;ddddd
6;ABSENT;platelet politely offensively;false;true;FAST;MANDATORY;ABU_AL_HARITHS_NARRATION_ON_THE_AUTHORITY_OF_AL_KISAI_VIA_AL_SHATIBIYYAH;AL3IMRAN;FATIHA;4306;9258;ddddd;ddddd;HIFD;true;2;2;4;ddddd
7;ABSENT;oar enrollment;false;true;INTERMEDIATE;MANDATORY;READING_ABU_JAAFAR_FROM_DURRAH_ROAD;AL3IMRAN;FATIHA;22086;20834;ddddd;ddddd;HIFD;true;3;5;4;ddddd
8;ABSENT_AUTHORIZED;yum;true;true;VERYFAST;OPTIONAL;AL_DURIS_NARRATION_ON_THE_AUTHORITY_OF_ABU_AMR_VIA_AL_SHATIBIYYAH;AL3IMRAN;AL3IMRAN;10246;21562;ddddd;ddddd;MORAJA3A;true;4;1;3;ddddd
9;PRESENT;before cleverly gee;false;false;INTERMEDIATE;MANDATORY;KHALAFS_NARRATION_ON_THE_AUTHORITY_OF_HAMZA_VIA_AL_SHATIBIYYAH;AL3IMRAN;FATIHA;16357;17843;ddddd;ddddd;HIFD;false;4;3;2;ddddd
10;ABSENT_AUTHORIZED;raisin fume;false;false;INTERMEDIATE;NONE;QUNBULS_NARRATION_ON_THE_AUTHORITY_OF_IBN_KATHIR_VIA_AL_SHATIBIYYAH;AL3IMRAN;FATIHA;573;12336;ddddd;ddddd;HIFD;false;4;3;2;ddddd
