id;title_ar;title_lat;description;goals;requirements;image_link;image_link_content_type;video_link;budget;is_active;activate_at;start_date;end_date
1;minty happily;meanwhile;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.txt;30069.14;true;2024-01-09T00:54:42;2024-01-09;2024-01-09
2;yuck;blah acidly;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.txt;26507.86;true;2024-01-09T13:39:57;2024-01-09;2024-01-08
3;concentrate good-bye;for ascend;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.txt;16984.98;false;2024-01-08T18:56:13;2024-01-09;2024-01-09
4;aw husky aw;kindheartedly ack unpleasant;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.txt;17868.35;false;2024-01-09T15:42:52;2024-01-08;2024-01-09
5;when;sleepily;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.txt;17006.93;true;2024-01-09T09:28:33;2024-01-08;2024-01-09
6;pumpkin;except;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.txt;13382.84;true;2024-01-08T18:17:51;2024-01-09;2024-01-09
7;afore phew whenever;chunter corruption;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.txt;4157.29;false;2024-01-09T08:42:47;2024-01-08;2024-01-08
8;jealous;till;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.txt;16060.46;true;2024-01-08T22:46:33;2024-01-09;2024-01-08
9;limply;circa kookily phooey;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.txt;14838.39;true;2024-01-09T16:05:04;2024-01-09;2024-01-08
10;hamper following;dynamite awful;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.txt;5263.09;false;2024-01-09T03:12:55;2024-01-09;2024-01-09
