id;session_mode;session_type;session_join_mode;title;description;period_start_date;periode_end_date;session_start_time;session_end_time;session_size;targeted_gender;price;thumbnail;thumbnail_content_type;monday;tuesday;wednesday;thursday;friday;saturday;sunday;is_periodic;is_minor_allowed;is_active
1;ONSITE;HALAQA;AUTHORIZED;jealously beyond;../fake-data/blob/hipster.txt;2024-01-09;2024-01-09;2024-01-09T00:10:37;2024-01-09T06:25:48;57;MIXED;3814.24;../fake-data/blob/hipster.png;image/png;true;true;true;true;true;false;false;false;true;true
2;ONLINE;HALAQA;AUTHORIZED;clumsy;../fake-data/blob/hipster.txt;2024-01-08;2024-01-09;2024-01-09T07:25:27;2024-01-09T07:24:15;16;MEN;5898.94;../fake-data/blob/hipster.png;image/png;false;false;true;true;true;true;true;false;true;false
3;ONSITE;HALAQA;AUTHORIZED;than unlucky;../fake-data/blob/hipster.txt;2024-01-08;2024-01-08;2024-01-09T17:25:19;2024-01-09T03:39:18;2;WOMEN;25982.19;../fake-data/blob/hipster.png;image/png;true;false;true;true;true;false;true;false;false;true
4;MIXED;HALAQA;AUTHORIZED;study mosquito which;../fake-data/blob/hipster.txt;2024-01-09;2024-01-09;2024-01-09T02:11:27;2024-01-09T06:00:11;40;WOMEN;13550.05;../fake-data/blob/hipster.png;image/png;false;false;false;true;false;true;false;false;true;true
5;ONLINE;HALAQA;DIRECT;throughout;../fake-data/blob/hipster.txt;2024-01-09;2024-01-08;2024-01-08T20:03:56;2024-01-09T14:30:43;86;WOMEN;22123.52;../fake-data/blob/hipster.png;image/png;true;true;false;false;false;false;false;true;false;false
6;ONLINE;LECTURE;DIRECT;immaculate;../fake-data/blob/hipster.txt;2024-01-09;2024-01-09;2024-01-08T22:22:00;2024-01-09T02:29:16;11;MIXED;10821.52;../fake-data/blob/hipster.png;image/png;false;true;true;false;false;true;true;false;true;true
7;ONSITE;LECTURE;DIRECT;provided;../fake-data/blob/hipster.txt;2024-01-09;2024-01-08;2024-01-09T13:51:59;2024-01-09T08:42:30;94;MIXED;25618.52;../fake-data/blob/hipster.png;image/png;true;false;true;true;false;false;true;true;true;false
8;MIXED;HALAQA;DIRECT;yum;../fake-data/blob/hipster.txt;2024-01-08;2024-01-09;2024-01-09T14:37:49;2024-01-08T19:23:22;10;WOMEN;24387.53;../fake-data/blob/hipster.png;image/png;true;true;false;false;true;false;true;true;true;true
9;MIXED;TRAINING;AUTHORIZED;about across once;../fake-data/blob/hipster.txt;2024-01-08;2024-01-08;2024-01-09T10:47:33;2024-01-09T06:37:19;61;MIXED;20602.1;../fake-data/blob/hipster.png;image/png;false;false;false;false;false;false;false;false;false;false
10;ONSITE;TRAINING;DIRECT;humiliating round;../fake-data/blob/hipster.txt;2024-01-09;2024-01-08;2024-01-08T20:36:33;2024-01-09T06:50:53;86;WOMEN;11517.29;../fake-data/blob/hipster.png;image/png;true;false;false;false;true;false;true;false;true;false
