id;title;description;resource_link;resource_file;resource_file_content_type
1;veil;../fake-data/blob/hipster.txt;hm;../fake-data/blob/hipster.png;image/png
2;roughly;../fake-data/blob/hipster.txt;misty;../fake-data/blob/hipster.png;image/png
3;inject yum aha;../fake-data/blob/hipster.txt;atop equation phooey;../fake-data/blob/hipster.png;image/png
4;suborn unpick throughout;../fake-data/blob/hipster.txt;irritating;../fake-data/blob/hipster.png;image/png
5;parcel inside patiently;../fake-data/blob/hipster.txt;hide suppurate;../fake-data/blob/hipster.png;image/png
6;yearly ladle;../fake-data/blob/hipster.txt;brr;../fake-data/blob/hipster.png;image/png
7;mmm shot considering;../fake-data/blob/hipster.txt;integrate;../fake-data/blob/hipster.png;image/png
8;boohoo astronomy phew;../fake-data/blob/hipster.txt;to rebel;../fake-data/blob/hipster.png;image/png
9;coincide rarely;../fake-data/blob/hipster.txt;milestone while in;../fake-data/blob/hipster.png;image/png
10;aside;../fake-data/blob/hipster.txt;revitalise whoever;../fake-data/blob/hipster.png;image/png
