id;title;session_date;start_time;duration;info;attendance;justif_ref;is_active
1;alongside teenager preserve;2024-01-08;2024-01-09T17:27:04;26341;../fake-data/blob/hipster.txt;PRESENT;remedy coordinator chuck;false
2;um;2024-01-09;2024-01-09T17:11:09;10497;../fake-data/blob/hipster.txt;ABSENT;sure-footed socialist;false
3;gee phooey;2024-01-09;2024-01-09T04:29:46;22803;../fake-data/blob/hipster.txt;ABSENT_AUTHORIZED;because drat guard;false
4;until politely guilty;2024-01-09;2024-01-09T05:41:45;25651;../fake-data/blob/hipster.txt;ABSENT;median derivation;false
5;ew;2024-01-09;2024-01-09T13:58:12;4884;../fake-data/blob/hipster.txt;ABSENT_AUTHORIZED;meanwhile;false
6;phew swill afraid;2024-01-09;2024-01-09T05:09:13;9141;../fake-data/blob/hipster.txt;ABSENT;beauty among;false
7;on gnat questionable;2024-01-09;2024-01-09T16:10:01;7275;../fake-data/blob/hipster.txt;ABSENT_AUTHORIZED;whoever phooey commonly;true
8;repeat shrill around;2024-01-09;2024-01-09T10:47:29;10742;../fake-data/blob/hipster.txt;PRESENT;puzzled;false
9;powerfully curiously look;2024-01-09;2024-01-09T03:45:16;14583;../fake-data/blob/hipster.txt;PRESENT;tightly on;false
10;prudent;2024-01-09;2024-01-09T13:48:03;17226;../fake-data/blob/hipster.txt;ABSENT;yet;true
