id;provider;title;description;link
1;WAHTSAPP;mince warmly;../fake-data/blob/hipster.txt;brook loftily helpful
2;TEAMS;discomfort worthy disco;../fake-data/blob/hipster.txt;swirl
3;WAHTSAPP;superficial past if;../fake-data/blob/hipster.txt;cool wooden rush
4;INSTAGRAM;yet;../fake-data/blob/hipster.txt;scapegoat nearly rigid
5;ZOOM;gradient intently vice;../fake-data/blob/hipster.txt;till
6;FACEBOOK;adventurously meager which;../fake-data/blob/hipster.txt;even tuba hard
7;WAHTSAPP;scientific;../fake-data/blob/hipster.txt;rue fox
8;TEAMS;utilize furthermore;../fake-data/blob/hipster.txt;hm protocol who
9;TEAMS;phooey;../fake-data/blob/hipster.txt;sharp heap gee
10;ZOOM;gracefully wisely save;../fake-data/blob/hipster.txt;hm
