id;ref_key;ref;message;amount;start_date;end_date;is_always
1;RENT;meanwhile for;../fake-data/blob/hipster.txt;393.03;2024-01-09;2024-01-09;false
2;OTHERS;knife-edge;../fake-data/blob/hipster.txt;11198.24;2024-01-08;2024-01-08;false
3;INTERNET;sleepily reflecting;../fake-data/blob/hipster.txt;9445.4;2024-01-08;2024-01-09;false
4;KHATM_ACTIVITY;miserably however;../fake-data/blob/hipster.txt;5020.07;2024-01-08;2024-01-09;false
5;INTERNET;offensively;../fake-data/blob/hipster.txt;22026.86;2024-01-09;2024-01-09;false
6;INTERNAL_ACTIVITY;heavy;../fake-data/blob/hipster.txt;11029.09;2024-01-09;2024-01-09;true
7;INTERNAL_ACTIVITY;sweltering fight;../fake-data/blob/hipster.txt;1813.2;2024-01-09;2024-01-09;false
8;SALARY;huzzah eviction;../fake-data/blob/hipster.txt;29946.48;2024-01-09;2024-01-08;true
9;STUDENT;when;../fake-data/blob/hipster.txt;19660.96;2024-01-08;2024-01-09;true
10;EXTERNAL_ACTIVITY;yahoo for;../fake-data/blob/hipster.txt;14880.58;2024-01-09;2024-01-09;false
