id;number;name_ar;name_en;name_en_translation;type;created_at;updated_at
1;26255;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;2024-01-09T04:28:49;2024-01-08T22:45:41
2;30654;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;2024-01-09T09:58:50;2024-01-08T21:00:26
3;13869;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;2024-01-09T09:53:59;2024-01-09T03:22:21
4;13198;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;2024-01-09T01:37:17;2024-01-09T05:49:45
5;29454;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;2024-01-08T22:34:04;2024-01-09T12:53:43
6;19599;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;2024-01-08T18:25:36;2024-01-09T15:45:29
7;23804;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;2024-01-09T13:07:41;2024-01-09T01:06:45
8;9967;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;2024-01-09T05:43:51;2024-01-09T00:38:15
9;25561;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;2024-01-09T12:49:54;2024-01-09T01:46:09
10;5658;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;2024-01-08T20:02:02;2024-01-09T01:52:05
