id;subject;title;reference;description;justif_doc;justif_doc_content_type;date_ticket;date_process;processed;jhi_from;to_date;decision_detail
1;INFORMATION;diligently gnu;blushing;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;2024-01-09T03:12:46;2024-01-09T12:02:43;PENDING;2024-01-09T07:24:12;2024-01-09T07:42:08;../fake-data/blob/hipster.txt
2;ABSENCE;trampoline ha apropos;onset wherever;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;2024-01-09T15:16:22;2024-01-09T10:53:10;PENDING;2024-01-08T19:38:45;2024-01-09T17:49:41;../fake-data/blob/hipster.txt
3;OTHER;pish mummify since;gadzooks lemur unfolded;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;2024-01-08T18:54:39;2024-01-09T12:01:57;PROCESSED;2024-01-09T02:53:48;2024-01-09T05:02:18;../fake-data/blob/hipster.txt
4;OTHER;unlike apropos excitedly;woot rectangular;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;2024-01-09T13:48:22;2024-01-09T11:18:05;PROCESSED;2024-01-09T02:35:29;2024-01-09T11:23:50;../fake-data/blob/hipster.txt
5;OTHER;midst whoever after;memorable ick qua;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;2024-01-09T13:10:39;2024-01-09T07:13:06;PROCESSED;2024-01-08T20:35:29;2024-01-09T15:21:06;../fake-data/blob/hipster.txt
6;LEAVE;verifiable;hesitate incidentally;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;2024-01-09T15:04:00;2024-01-09T11:26:46;PROCESSED;2024-01-09T11:58:49;2024-01-09T07:23:54;../fake-data/blob/hipster.txt
7;OTHER;greedily;aha index;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;2024-01-08T22:24:56;2024-01-09T13:28:24;PENDING;2024-01-09T14:58:58;2024-01-08T20:13:10;../fake-data/blob/hipster.txt
8;ABSENCE;ginseng waggle;well-groomed yesterday relent;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;2024-01-09T07:10:37;2024-01-08T23:30:47;PENDING;2024-01-09T05:46:41;2024-01-09T07:01:56;../fake-data/blob/hipster.txt
9;LEAVE;joyously;whether;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;2024-01-09T12:04:55;2024-01-09T05:08:09;PROCESSED;2024-01-09T02:57:52;2024-01-09T04:42:13;../fake-data/blob/hipster.txt
10;LEAVE;superpose blissfully;memorial issue;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;2024-01-09T15:58:31;2024-01-09T08:55:15;PROCESSING;2024-01-09T03:18:11;2024-01-09T18:11:02;../fake-data/blob/hipster.txt
